               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022527,             0.00626,           0.0026798,             0.92442,             0.82327,             0.88052,             0.53161,            0.018259,           0.0032218,           0.0014007,           0.0091585,           0.0091585,           0.0091585
                  36,            0.022455,           0.0061675,           0.0026991,             0.92262,             0.82477,             0.88101,             0.53199,            0.018249,           0.0032191,           0.0014051,           0.0091337,           0.0091337,           0.0091337
                  37,            0.022469,           0.0061828,           0.0027423,             0.92178,             0.82592,             0.88106,             0.53215,            0.018247,           0.0032187,           0.0014049,            0.009109,            0.009109,            0.009109
                  38,            0.022609,           0.0062154,           0.0027316,             0.92107,             0.82696,             0.88131,              0.5324,            0.018241,           0.0032209,           0.0014066,           0.0090843,           0.0090843,           0.0090843
                  39,            0.022411,           0.0061746,           0.0026801,             0.92016,             0.82841,             0.88143,             0.53301,            0.018236,           0.0032209,           0.0014104,           0.0090595,           0.0090595,           0.0090595
                  40,            0.022326,           0.0061766,           0.0027347,             0.92111,              0.8289,             0.88126,             0.53308,            0.018243,           0.0032245,           0.0014162,           0.0090347,           0.0090347,           0.0090347
                  41,            0.022076,           0.0061366,           0.0026678,             0.92228,             0.82891,             0.88113,             0.53255,            0.018265,           0.0032298,           0.0014219,             0.00901,             0.00901,             0.00901
                  42,            0.022058,           0.0061316,           0.0026729,             0.92384,             0.82872,             0.88098,             0.53227,            0.018284,           0.0032312,           0.0014261,           0.0089853,           0.0089853,           0.0089853
                  43,              0.0222,           0.0061218,           0.0027228,             0.92522,             0.82883,             0.88104,             0.53191,            0.018298,           0.0032314,           0.0014298,           0.0089605,           0.0089605,           0.0089605
                  44,            0.022024,           0.0060857,            0.002669,             0.92511,             0.82973,             0.88108,              0.5316,            0.018313,           0.0032344,           0.0014349,           0.0089358,           0.0089358,           0.0089358
                  45,            0.022064,           0.0061278,           0.0026901,             0.92505,             0.83056,             0.88119,             0.53145,             0.01833,           0.0032389,            0.001435,            0.008911,            0.008911,            0.008911
                  46,            0.021992,           0.0060899,           0.0026911,              0.9246,             0.83095,             0.88082,              0.5312,            0.018351,            0.003246,           0.0014383,           0.0088863,           0.0088863,           0.0088863
