               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.024994,           0.0066239,           0.0032158,             0.91649,              0.7483,             0.81458,             0.48722,             0.02659,           0.0035382,           0.0028316,           0.0091585,           0.0091585,           0.0091585
                  36,            0.024789,           0.0065949,           0.0031846,             0.91718,             0.74756,             0.81447,             0.48648,            0.026613,           0.0035399,            0.002836,           0.0091337,           0.0091337,           0.0091337
                  37,            0.024642,           0.0065799,           0.0031895,             0.91824,             0.74727,             0.81448,             0.48596,            0.026631,           0.0035369,           0.0028339,            0.009109,            0.009109,            0.009109
                  38,            0.024638,           0.0065632,           0.0032139,             0.91747,             0.74724,             0.81429,             0.48559,            0.026657,            0.003542,           0.0028316,           0.0090843,           0.0090843,           0.0090843
                  39,            0.024539,           0.0065872,           0.0032093,              0.9188,             0.74575,             0.81358,              0.4847,            0.026697,           0.0035472,           0.0028339,           0.0090595,           0.0090595,           0.0090595
                  40,            0.024543,           0.0065386,           0.0031723,             0.91902,             0.74534,              0.8137,             0.48414,            0.026722,            0.003551,             0.00284,           0.0090347,           0.0090347,           0.0090347
                  41,            0.024477,           0.0065164,           0.0031944,             0.92036,             0.74453,              0.8137,             0.48391,            0.026735,           0.0035521,             0.00285,             0.00901,             0.00901,             0.00901
                  42,            0.024502,             0.00658,           0.0032109,             0.91858,             0.74515,             0.81401,             0.48438,            0.026702,           0.0035474,            0.002846,           0.0089853,           0.0089853,           0.0089853
                  43,            0.024245,            0.006491,           0.0031529,             0.91862,             0.74471,              0.8137,             0.48461,            0.026711,           0.0035475,            0.002835,           0.0089605,           0.0089605,           0.0089605
                  44,            0.024266,           0.0064705,           0.0031776,             0.91845,             0.74436,             0.81357,             0.48463,            0.026729,            0.003547,           0.0028341,           0.0089358,           0.0089358,           0.0089358
                  45,            0.024295,           0.0064542,           0.0031594,             0.91675,             0.74468,             0.81333,             0.48494,             0.02673,           0.0035469,           0.0028296,            0.008911,            0.008911,            0.008911
                  46,             0.02423,           0.0064465,            0.003207,             0.91513,              0.7451,             0.81333,             0.48503,            0.026723,           0.0035511,           0.0028271,           0.0088863,           0.0088863,           0.0088863
                  47,            0.024186,           0.0064502,           0.0031982,             0.91252,             0.74639,             0.81321,             0.48487,            0.026723,           0.0035523,           0.0028281,           0.0088615,           0.0088615,           0.0088615
                  48,            0.024061,            0.006481,           0.0031729,             0.91172,             0.74597,             0.81352,             0.48557,            0.026719,           0.0035503,           0.0028273,           0.0088368,           0.0088368,           0.0088368
                  49,            0.023919,           0.0064456,            0.003142,             0.91933,             0.73895,             0.81329,             0.48583,            0.026731,           0.0035536,           0.0028202,            0.008812,            0.008812,            0.008812
                  50,            0.023976,           0.0064133,             0.00318,             0.92437,             0.73466,             0.81287,             0.48587,             0.02674,           0.0035555,           0.0028269,           0.0087872,           0.0087872,           0.0087872
                  51,            0.023933,           0.0064284,           0.0031687,             0.92566,             0.73402,             0.81265,             0.48652,            0.026718,           0.0035581,           0.0028274,           0.0087625,           0.0087625,           0.0087625
                  52,             0.02396,           0.0064178,           0.0031948,             0.92574,              0.7332,             0.81231,             0.48665,            0.026711,           0.0035617,           0.0028248,           0.0087378,           0.0087378,           0.0087378
                  53,            0.023821,           0.0063946,           0.0031529,             0.92599,             0.73289,             0.81229,             0.48683,            0.026689,           0.0035586,           0.0028067,            0.008713,            0.008713,            0.008713
                  54,            0.023796,           0.0063694,           0.0031614,             0.92398,             0.73474,             0.81268,             0.48654,            0.026685,           0.0035592,           0.0027897,           0.0086882,           0.0086882,           0.0086882
                  55,            0.023744,           0.0063836,           0.0032028,              0.9249,             0.73461,             0.81321,             0.48639,            0.026703,           0.0035607,           0.0027795,           0.0086635,           0.0086635,           0.0086635
                  56,            0.023661,           0.0063727,           0.0031365,             0.92565,              0.7346,             0.81359,             0.48601,            0.026715,           0.0035623,           0.0027733,           0.0086388,           0.0086388,           0.0086388
                  57,            0.023626,             0.00635,           0.0031787,             0.92446,             0.73608,             0.81405,             0.48557,            0.026725,           0.0035621,           0.0027558,            0.008614,            0.008614,            0.008614
                  58,            0.023582,           0.0063706,            0.003166,             0.92405,              0.7369,             0.81429,             0.48559,             0.02672,           0.0035603,           0.0027498,           0.0085893,           0.0085893,           0.0085893
                  59,            0.023525,           0.0063554,           0.0031587,             0.92482,             0.73639,             0.81416,             0.48568,            0.026727,           0.0035649,           0.0027525,           0.0085645,           0.0085645,           0.0085645
                  60,            0.023465,           0.0063252,           0.0031421,             0.92451,             0.73655,             0.81391,             0.48597,            0.026728,           0.0035728,           0.0027453,           0.0085398,           0.0085398,           0.0085398
                  61,            0.023445,             0.00632,           0.0031471,             0.92381,             0.73655,             0.81382,             0.48584,            0.026728,           0.0035823,           0.0027431,            0.008515,            0.008515,            0.008515
                  62,            0.023331,           0.0063355,           0.0031307,             0.92364,             0.73632,             0.81327,             0.48573,            0.026726,           0.0035877,           0.0027329,           0.0084903,           0.0084903,           0.0084903
                  63,            0.023398,           0.0063142,           0.0031314,             0.92463,             0.73565,             0.81362,             0.48633,            0.026697,           0.0035897,             0.00273,           0.0084655,           0.0084655,           0.0084655
                  64,            0.023271,           0.0063164,           0.0031451,             0.92202,             0.73673,              0.8142,             0.48659,            0.026676,           0.0035967,           0.0027333,           0.0084408,           0.0084408,           0.0084408
                  65,            0.023355,           0.0063264,           0.0031317,              0.9211,             0.73717,              0.8144,             0.48663,            0.026665,           0.0035981,            0.002737,            0.008416,            0.008416,            0.008416
